colonne,min_fin_fenetre,id_joueur,date_match,moment,mean,std,skewness,kurtosis,RMS,IQR,Q10,Q25,median,Q75,Q90,prop_sup_seuil
ACC Y,30,joueur_03,match_20220807,MT1,-0.864843,0.676526,-0.128729,0.877558,1.09802,2.49022,-1.66856,-1.15853,-0.899221,-0.651774,0.17062,
ACC Z,30,joueur_03,match_20220807,MT1,-0.359819,0.344277,-0.545827,5.72784,0.497993,1.04599,-0.860261,-0.520608,-0.277022,-0.153749,-0.0425082,
GYRO X,30,joueur_03,match_20220807,MT1,5.48947,37.6389,0.148335,7.24613,38.0371,111.252,-31.7611,-10.2682,5.89257,21.365,41.7152,
GYRO Y,30,joueur_03,match_20220807,MT1,2.14301,84.1067,-0.433885,3.65002,84.134,300.113,-98.5438,-24.4644,3.41992,31.8239,99.3934,
GYRO Z,30,joueur_03,match_20220807,MT1,2.62183,46.6237,-0.0824236,4.9153,46.6973,160.253,-46.9487,-14.9459,3.30304,21.9088,48.5836,
NormeGradAcc,30,joueur_03,match_20220807,MT1,0.0406278,0.04735,2.15809,6.70352,0.062391,0.137723,0.0049882,0.00925018,0.0210068,0.0560191,0.109397,0.19019607843137254
NormeGradGyro,30,joueur_03,match_20220807,MT1,4.1736,4.62699,2.51992,9.1126,6.23121,12.926,0.755205,1.28998,2.3361,5.4181,10.1306,
ACC X,35,joueur_03,match_20220807,MT1,-0.0586863,0.282125,-0.986759,15.9431,0.288164,0.755414,-0.31577,-0.179764,-0.050446,0.0666981,0.199379,
ACC Y,35,joueur_03,match_20220807,MT1,-0.827033,0.636705,0.0564549,0.97071,1.04373,2.32553,-1.44562,-1.10107,-0.911754,-0.646624,0.204039,
ACC Z,35,joueur_03,match_20220807,MT1,-0.370755,0.323683,-0.825813,2.13234,0.492169,0.997271,-0.881908,-0.515035,-0.280844,-0.172734,-0.0768989,
GYRO X,35,joueur_03,match_20220807,MT1,5.59158,34.5654,0.344081,9.66144,35.0147,96.6624,-27.7378,-10.7287,5.17678,20.9988,39.8046,
GYRO Y,35,joueur_03,match_20220807,MT1,3.95212,72.2436,0.0981641,2.53387,72.3516,262.138,-73.6364,-23.5254,2.24369,29.9907,85.8897,
GYRO Z,35,joueur_03,match_20220807,MT1,4.59297,38.5951,0.102281,6.80571,38.8675,124.329,-31.324,-11.3984,4.11055,20.2195,42.1628,
NormeGradAcc,35,joueur_03,match_20220807,MT1,0.0324018,0.0407016,2.23869,5.71384,0.052024,0.120916,0.00404342,0.00735084,0.0152988,0.0379958,0.0899938,0.13746498599439777
NormeGradGyro,35,joueur_03,match_20220807,MT1,3.37374,3.74696,2.68031,10.2759,5.04201,10.3584,0.665695,1.11552,1.97118,4.12903,8.19122,
ACC X,40,joueur_03,match_20220807,MT1,-0.0658126,0.271463,0.118032,7.17353,0.279327,0.828331,-0.346921,-0.197802,-0.0700975,0.0614879,0.216301,
ACC Y,40,joueur_03,match_20220807,MT1,-0.934505,0.565367,-0.142091,1.96476,1.09222,2.19255,-1.52697,-1.13371,-0.931053,-0.793673,-0.150409,
ACC Z,40,joueur_03,match_20220807,MT1,-0.319395,0.286474,-1.52135,4.374,0.429046,0.905987,-0.69026,-0.425245,-0.251349,-0.15325,-0.061704,
GYRO X,40,joueur_03,match_20220807,MT1,5.0561,32.3055,-0.0861107,6.60862,32.6988,98.2452,-28.1356,-9.12478,5.06155,19.7296,38.1435,
GYRO Y,40,joueur_03,match_20220807,MT1,-0.521179,74.2731,-0.0292924,1.68132,74.275,264.398,-90.149,-33.4528,1.57542,32.7938,83.4512,
GYRO Z,40,joueur_03,match_20220807,MT1,1.36006,42.987,-0.247587,4.64429,43.0086,137.938,-41.3133,-14.928,1.79456,20.2026,41.261,
NormeGradAcc,40,joueur_03,match_20220807,MT1,0.0347393,0.0408138,1.95734,3.90878,0.0535965,0.124015,0.00419349,0.00788676,0.0180963,0.0445817,0.0945829,0.1523249299719888
NormeGradGyro,40,joueur_03,match_20220807,MT1,3.44306,3.6369,2.35885,7.66849,5.00817,10.465,0.709896,1.18012,2.01637,4.28817,8.42038,
ACC X,45,joueur_03,match_20220807,MT1,-0.0686444,0.296395,-1.12508,13.7826,0.30424,0.835342,-0.341617,-0.186977,-0.0600076,0.0592168,0.195649,
ACC Y,45,joueur_03,match_20220807,MT1,-0.936934,0.525717,-0.056996,3.16004,1.07435,2.03874,-1.41087,-1.12391,-0.926957,-0.811035,-0.329923,
ACC Z,45,joueur_03,match_20220807,MT1,-0.319123,0.286083,-1.66819,8.37119,0.428583,0.857753,-0.665097,-0.420854,-0.251611,-0.164859,-0.0893882,
GYRO X,45,joueur_03,match_20220807,MT1,5.18583,34.6244,0.168217,7.86391,35.0106,99.8827,-26.9344,-8.886,5.20316,19.1903,36.6248,
GYRO Y,45,joueur_03,match_20220807,MT1,4.24857,74.7937,0.0102686,2.88092,74.9143,259.611,-79.1492,-25.0897,3.44634,34.1953,88.2069,
GYRO Z,45,joueur_03,match_20220807,MT1,5.46805,43.1332,0.394713,6.35517,43.4784,138.025,-32.2208,-12.0593,3.65373,21.865,46.4224,
NormeGradAcc,45,joueur_03,match_20220807,MT1,0.0339678,0.0432183,2.38824,6.41888,0.0549694,0.128727,0.00456003,0.00816715,0.0169337,0.0369084,0.0933615,0.13858543417366948
NormeGradGyro,45,joueur_03,match_20220807,MT1,3.58966,4.20701,2.66887,9.44268,5.53034,11.9533,0.736207,1.18453,1.96163,4.00234,9.14568,
ACC X,5,joueur_03,match_20220807,MT2,-0.0515592,0.328591,-0.23369,7.36426,0.332611,1.00001,-0.361348,-0.193564,-0.0549964,0.0805712,0.272812,
ACC Y,5,joueur_03,match_20220807,MT2,-0.939864,0.644365,-0.254509,2.03616,1.13954,2.39078,-1.69852,-1.16774,-0.927317,-0.767897,-0.0515001,
ACC Z,5,joueur_03,match_20220807,MT2,-0.325566,0.341388,-0.363529,12.2988,0.47174,0.964401,-0.707173,-0.463255,-0.260907,-0.153795,-0.0482748,
GYRO X,5,joueur_03,match_20220807,MT2,5.80898,45.3111,0.294432,8.53951,45.682,129.776,-32.9888,-10.4937,5.31451,21.606,43.7566,
GYRO Y,5,joueur_03,match_20220807,MT2,1.37114,87.3393,-0.139666,3.39835,87.35,304.299,-100.362,-33.9754,2.6154,38.9989,99.839,
GYRO Z,5,joueur_03,match_20220807,MT2,3.80756,53.0596,-0.236597,7.07582,53.196,167.686,-47.69,-16.6104,3.34536,26.7465,54.5022,
NormeGradAcc,5,joueur_03,match_20220807,MT2,0.0462887,0.0551309,1.95479,3.97215,0.0719866,0.163557,0.00509595,0.00979228,0.0226506,0.0632906,0.128313,0.20981792717086833
NormeGradGyro,5,joueur_03,match_20220807,MT2,5.10028,5.91822,2.43395,7.65431,7.81269,17.0614,0.873579,1.46971,2.64784,6.63881,12.5891,
ACC X,10,joueur_03,match_20220807,MT2,0.0176911,0.368229,0.666246,5.38392,0.368654,1.34505,-0.322008,-0.176965,-0.0363311,0.124226,0.511565,
ACC Y,10,joueur_03,match_20220807,MT2,-0.827578,0.638446,-0.223362,1.838,1.04523,2.3368,-1.46608,-1.05071,-0.908799,-0.525869,0.05615,
ACC Z,10,joueur_03,match_20220807,MT2,-0.288074,0.347275,-0.0665368,3.76729,0.451206,1.13172,-0.744241,-0.43228,-0.260037,-0.142614,0.0823122,
GYRO X,10,joueur_03,match_20220807,MT2,5.72352,36.0733,0.0307542,11.4176,36.5246,108.36,-29.6838,-9.40177,5.94841,21.0282,40.8176,
GYRO Y,10,joueur_03,match_20220807,MT2,4.45483,74.4964,-0.0108604,2.22798,74.6294,263.697,-76.2982,-29.5797,3.22086,36.5848,91.0335,
GYRO Z,10,joueur_03,match_20220807,MT2,5.7207,41.8572,0.259594,8.50796,42.2463,132.206,-35.4794,-10.7355,4.93636,22.0338,46.7809,
NormeGradAcc,10,joueur_03,match_20220807,MT2,0.0322012,0.0429128,2.30488,5.9646,0.0536509,0.12508,0.00285638,0.00598355,0.0138793,0.0396284,0.0900233,0.1373389355742297
NormeGradGyro,10,joueur_03,match_20220807,MT2,3.57271,4.15257,2.83633,12.5636,5.47797,11.2621,0.574628,1.05245,2.00311,4.50521,8.90225,
ACC X,15,joueur_03,match_20220807,MT2,-0.0423605,0.250241,-0.543586,11.2179,0.253801,0.742156,-0.280833,-0.149311,-0.0373334,0.0636465,0.195905,
ACC Y,15,joueur_03,match_20220807,MT2,-0.850469,0.603475,0.181794,1.6075,1.04282,2.30169,-1.38449,-1.06214,-0.917682,-0.743189,0.159318,
ACC Z,15,joueur_03,match_20220807,MT2,-0.361494,0.309278,0.271027,11.4573,0.475742,0.948509,-0.83234,-0.498716,-0.296453,-0.184695,-0.0897762,
GYRO X,15,joueur_03,match_20220807,MT2,6.21186,35.9225,0.395134,10.6383,36.4556,106.217,-26.9016,-7.61969,5.6976,19.9782,39.065,
GYRO Y,15,joueur_03,match_20220807,MT2,2.93878,70.1214,0.381982,8.74553,70.183,234.184,-69.7334,-20.3053,4.0136,27.3567,71.8281,
GYRO Z,15,joueur_03,match_20220807,MT2,4.40175,40.8929,0.38399,8.72817,41.1292,128.25,-36.1452,-11.981,4.87758,21.3735,41.9455,
NormeGradAcc,15,joueur_03,match_20220807,MT2,0.0296339,0.0396859,2.34327,6.15347,0.0495292,0.118166,0.00307741,0.00574521,0.013277,0.0327028,0.0863491,0.1264985994397759
NormeGradGyro,15,joueur_03,match_20220807,MT2,3.26393,4.11008,3.50145,21.187,5.24842,10.8114,0.570935,0.962168,1.75182,3.74864,8.14629,
ACC X,5,joueur_09,match_20220807,MT1,0.0340904,0.288099,0.238681,3.64549,0.290109,0.8653,-0.282487,-0.128314,0.0227654,0.195035,0.35479,
ACC Y,5,joueur_09,match_20220807,MT1,-0.845674,0.643249,-0.101709,1.02568,1.06251,2.31233,-1.60456,-1.12869,-0.914998,-0.536962,0.0852647,
ACC Z,5,joueur_09,match_20220807,MT1,-0.489045,0.398291,-1.10465,1.63551,0.630715,1.28733,-1.04541,-0.691332,-0.373038,-0.246766,-0.0823098,
GYRO X,5,joueur_09,match_20220807,MT1,2.26505,43.822,0.278012,3.70893,43.8805,141.161,-45.607,-18.2315,1.63825,21.1975,48.811,
GYRO Y,5,joueur_09,match_20220807,MT1,-0.21342,79.5034,-0.04917,2.47738,79.5037,264.974,-95.6445,-38.168,1.27789,38.0635,94.5343,
GYRO Z,5,joueur_09,match_20220807,MT1,1.64824,58.4804,0.125971,2.55988,58.5036,198.192,-65.1956,-26.2832,1.74462,28.6593,65.6503,
NormeGradAcc,5,joueur_09,match_20220807,MT1,0.0419659,0.043872,1.67502,3.10815,0.0607115,0.13603,0.0025964,0.0100247,0.0274206,0.0584073,0.106311,0.1800560224089636
NormeGradGyro,5,joueur_09,match_20220807,MT1,5.10149,5.22484,2.19096,7.32055,7.30234,15.3261,0.574371,1.59746,3.33681,6.99605,11.8132,
ACC X,10,joueur_09,match_20220807,MT1,0.0684052,0.29068,0.141646,5.07922,0.298621,0.868358,-0.257021,-0.0956221,0.0696387,0.228354,0.375587,
ACC Y,10,joueur_09,match_20220807,MT1,-0.875027,0.624875,-0.137372,1.04556,1.07524,2.31203,-1.64763,-1.15853,-0.897216,-0.606588,0.0225454,
ACC Z,10,joueur_09,match_20220807,MT1,-0.464659,0.392664,-1.04818,2.34363,0.608352,1.25406,-1.0022,-0.649705,-0.381185,-0.224824,-0.0667582,
GYRO X,10,joueur_09,match_20220807,MT1,2.42113,47.341,0.614704,6.15252,47.4029,152.898,-48.606,-20.874,1.62777,23.6339,53.2808,
GYRO Y,10,joueur_09,match_20220807,MT1,0.273767,78.9072,0.0139084,2.10657,78.9076,264.761,-95.4743,-40.437,0.649966,40.2939,95.2117,
GYRO Z,10,joueur_09,match_20220807,MT1,1.32957,56.7889,0.0819807,2.79829,56.8044,192.037,-60.8207,-28.2069,1.44031,29.7655,65.3764,
NormeGradAcc,10,joueur_09,match_20220807,MT1,0.0441217,0.0448109,1.66046,3.00099,0.0628867,0.138033,0.00518814,0.0120056,0.0271245,0.0626297,0.109772,0.19703081232492997
NormeGradGyro,10,joueur_09,match_20220807,MT1,5.38822,5.01954,2.00118,6.19113,7.36401,14.6424,1.04371,1.90235,3.64529,7.50983,12.0329,
ACC X,15,joueur_09,match_20220807,MT1,0.00884152,0.339455,2.2231,59.6794,0.33957,0.895219,-0.331278,-0.171056,-0.00164857,0.177598,0.344237,
ACC Y,15,joueur_09,match_20220807,MT1,-0.86939,0.592619,0.136182,2.28797,1.05216,2.16616,-1.55801,-1.15373,-0.893041,-0.604742,-0.0629767,
ACC Z,15,joueur_09,match_20220807,MT1,-0.462338,0.426219,1.69839,41.0264,0.628824,1.23537,-1.01425,-0.666723,-0.385076,-0.226133,-0.0653545,
GYRO X,15,joueur_09,match_20220807,MT1,2.91723,45.3047,0.156876,5.57497,45.3985,136.431,-43.636,-19.4992,2.34223,24.962,50.8053,
GYRO Y,15,joueur_09,match_20220807,MT1,1.51141,84.7257,-0.446246,10.9265,84.7392,265.328,-96.5522,-44.4246,3.2256,45.556,98.4097,
GYRO Z,15,joueur_09,match_20220807,MT1,1.87182,60.5224,0.276739,8.612,60.5514,195.801,-67.1766,-30.8699,1.536,34.2548,71.5585,
NormeGradAcc,15,joueur_09,match_20220807,MT1,0.0437383,0.0455286,3.19524,25.3379,0.063134,0.132355,0.00700419,0.0140074,0.0282549,0.0579672,0.103451,0.16862745098039217
NormeGradGyro,15,joueur_09,match_20220807,MT1,5.4073,5.67001,4.4479,39.3925,7.83505,14.0005,1.3091,2.07635,3.60904,6.97605,11.3224,
ACC X,20,joueur_09,match_20220807,MT1,0.0384112,0.321802,0.927346,20.4911,0.324086,0.86509,-0.297338,-0.125128,0.0345953,0.200747,0.361438,
ACC Y,20,joueur_09,match_20220807,MT1,-0.812145,0.640761,0.162271,1.41718,1.03448,2.28895,-1.54615,-1.10556,-0.875621,-0.537069,0.133378,
ACC Z,20,joueur_09,match_20220807,MT1,-0.475781,0.408954,-0.721919,3.61843,0.627384,1.23158,-1.01589,-0.708539,-0.377599,-0.225059,-0.0820625,
GYRO X,20,joueur_09,match_20220807,MT1,1.84473,50.3549,-0.097046,7.99562,50.3887,155.667,-49.9422,-20.6248,1.66979,23.8765,52.2469,
GYRO Y,20,joueur_09,match_20220807,MT1,2.64253,78.8422,-0.0467525,3.81783,78.8865,259.397,-91.4558,-36.2894,3.20112,42.0904,97.1463,
GYRO Z,20,joueur_09,match_20220807,MT1,3.84076,60.5103,0.162172,4.85728,60.6321,198.495,-59.3643,-26.5392,2.382,32.5841,69.1293,
NormeGradAcc,20,joueur_09,match_20220807,MT1,0.0410379,0.045045,2.13684,6.13347,0.0609357,0.133658,0.00564237,0.0106431,0.0235834,0.0561434,0.102989,0.16683473389355744
NormeGradGyro,20,joueur_09,match_20220807,MT1,5.11653,5.24277,2.69301,12.6749,7.32568,14.4864,1.03605,1.73795,3.17103,6.90321,11.5409,
ACC X,25,joueur_09,match_20220807,MT1,0.0644108,0.24184,0.349298,4.26653,0.25027,0.745074,-0.221106,-0.084906,0.0646852,0.207045,0.346284,
ACC Y,25,joueur_09,match_20220807,MT1,-0.896919,0.526789,-0.178688,2.4543,1.04018,1.99101,-1.4539,-1.12907,-0.917511,-0.668431,-0.248873,
ACC Z,25,joueur_09,match_20220807,MT1,-0.431725,0.351316,-1.13876,2.90709,0.556605,1.09573,-0.913006,-0.606261,-0.348534,-0.20489,-0.0870403,
GYRO X,25,joueur_09,match_20220807,MT1,1.96051,40.9871,0.49795,8.6445,41.034,120.071,-38.8559,-18.0554,1.15961,20.6534,43.2916,
GYRO Y,25,joueur_09,match_20220807,MT1,3.02026,69.5201,0.142069,13.5734,69.5857,215.225,-75.0398,-31.1454,1.68364,35.1548,81.8007,
GYRO Z,25,joueur_09,match_20220807,MT1,2.44368,45.562,0.0412908,2.56117,45.6275,151.938,-46.757,-22.9077,1.60172,25.5624,54.9612,
NormeGradAcc,25,joueur_09,match_20220807,MT1,0.0348744,0.0355498,2.09233,5.89098,0.0497998,0.109997,0.00521147,0.0112646,0.0229968,0.0446002,0.0833629,0.11873949579831933
NormeGradGyro,25,joueur_09,match_20220807,MT1,4.02825,4.23063,4.64242,45.2539,5.84166,10.4641,0.949451,1.62641,2.76199,5.07348,8.34273,
ACC X,30,joueur_09,match_20220807,MT1,0.0364378,0.268195,0.904958,9.98096,0.270659,0.752449,-0.23605,-0.101759,0.0277989,0.161883,0.306074,
ACC Y,30,joueur_09,match_20220807,MT1,-0.766698,0.643908,0.358628,0.835812,1.00122,2.36576,-1.40657,-1.06028,-0.885615,-0.527968,0.322553,
ACC Z,30,joueur_09,match_20220807,MT1,-0.480728,0.362439,-0.913381,1.16779,0.602047,1.12024,-0.957056,-0.73849,-0.385079,-0.221753,-0.101275,
GYRO X,30,joueur_09,match_20220807,MT1,2.49893,40.2489,0.515459,5.66079,40.3264,129.564,-39.1989,-15.7158,1.81215,18.2246,43.5315,
GYRO Y,30,joueur_09,match_20220807,MT1,0.0549752,62.5821,-0.564398,5.6249,62.5821,202.329,-68.4834,-26.419,1.94888,28.246,67.1917,
GYRO Z,30,joueur_09,match_20220807,MT1,0.622001,51.4111,-0.284549,3.98979,51.4148,173.568,-54.0937,-19.9881,1.75541,22.4976,52.8862,
NormeGradAcc,30,joueur_09,match_20220807,MT1,0.0329423,0.0383357,2.05703,5.41616,0.0505452,0.115562,0.0027696,0.00647359,0.0190055,0.044277,0.0856001,0.12355742296918767
NormeGradGyro,30,joueur_09,match_20220807,MT1,3.87577,4.31532,2.59305,10.61,5.80031,12.2883,0.546512,1.1296,2.31825,5.00088,9.46961,
ACC X,35,joueur_09,match_20220807,MT1,0.0555062,0.255234,0.550144,5.05065,0.2612,0.759858,-0.237852,-0.0977687,0.0545589,0.201022,0.326926,
ACC Y,35,joueur_09,match_20220807,MT1,-0.893561,0.515563,0.0502111,1.53923,1.03163,1.93999,-1.43964,-1.13488,-0.90836,-0.683979,-0.253835,
ACC Z,35,joueur_09,match_20220807,MT1,-0.443165,0.354907,-1.07582,3.66792,0.567762,1.08445,-0.933711,-0.602406,-0.353136,-0.215387,-0.105025,
GYRO X,35,joueur_09,match_20220807,MT1,2.45403,40.7473,0.490888,10.2892,40.8212,118.72,-37.4663,-16.7088,1.44125,20.8812,43.0524,
GYRO Y,35,joueur_09,match_20220807,MT1,0.2144,67.178,-0.178637,3.24339,67.1783,220.704,-77.9663,-32.3906,2.10896,32.8138,76.3003,
GYRO Z,35,joueur_09,match_20220807,MT1,1.7911,53.2169,0.348114,4.43667,53.2471,168.744,-54.6995,-26.1708,0.80029,29.1036,57.7195,
NormeGradAcc,35,joueur_09,match_20220807,MT1,0.0355065,0.0361424,2.0536,5.2384,0.0506654,0.112283,0.00554226,0.0114148,0.0232209,0.046034,0.0832585,0.11857142857142858
NormeGradGyro,35,joueur_09,match_20220807,MT1,4.14814,4.19826,2.90758,12.5081,5.9019,11.3554,0.986296,1.63966,2.74731,5.15868,8.82782,
ACC X,40,joueur_09,match_20220807,MT1,-0.0405627,0.332786,-0.0729012,9.90652,0.335249,0.900058,-0.370484,-0.204,-0.035715,0.12114,0.27882,
ACC Y,40,joueur_09,match_20220807,MT1,-0.896346,0.551651,-0.0774152,3.95058,1.0525,2.05178,-1.43983,-1.07364,-0.929942,-0.745508,-0.185762,
ACC Z,40,joueur_09,match_20220807,MT1,-0.420378,0.369361,-1.3558,5.53391,0.559594,1.15346,-0.902359,-0.520069,-0.344532,-0.223551,-0.0940379,
GYRO X,40,joueur_09,match_20220807,MT1,1.87225,49.5043,0.324805,10.333,49.5397,146.73,-44.5337,-18.6569,1.76453,21.4458,48.5134,
GYRO Y,40,joueur_09,match_20220807,MT1,1.17505,75.7666,-0.297437,4.15053,75.7757,245.176,-85.6857,-33.9048,2.16003,37.9592,87.4217,
GYRO Z,40,joueur_09,match_20220807,MT1,2.21477,60.1977,-0.794013,12.4228,60.2384,193.231,-58.5003,-23.5987,1.73966,27.7161,64.5193,
NormeGradAcc,40,joueur_09,match_20220807,MT1,0.0374928,0.044613,2.05806,5.31891,0.0582754,0.133931,0.00311364,0.00761006,0.0194288,0.0513449,0.0998179,0.1615406162464986
NormeGradGyro,40,joueur_09,match_20220807,MT1,4.92025,5.41621,2.79378,12.1556,7.31739,15.0326,0.828449,1.58792,2.99039,6.3228,11.5019,
ACC X,45,joueur_09,match_20220807,MT1,-0.07208,0.255808,0.017292,3.13068,0.265769,0.776339,-0.381993,-0.230508,-0.0669676,0.0839189,0.231129,
